1:1	ቃለ፡ በረከት፡ ዘሄኖክ፡ በከመ፡ ባረከ፡ ኅሩያነ፡ ወጻድቃነ፡ እለ፡ ሀለዉ፡ ይኩኑ፡ በዕለተ፡ ምንዳቤ፡ ለአሰስሎ፡ ኵሉ፡ እኩያን፡ ወረሲዓን።
39:7	ወርኢኩ፡ ማኅደሮሙ፡ መትሕተ፡ አክናፈ፡ እግዚአ፡ መናፍስት፡ ወኵሎሙ፡ ጻድቃን፡ ወኅሩያን፡ በቅድሜሁ፡ ይትለሐዩ፡ ከመ፡ ብርሃነ፡ እሳት፡ ወአፉሆሙ፡ ይመልእ፡ በረከተ፡ ወከናፍሪሆሙ፡ ይሴብሕ፡ ስሞ፡ ለእግዚአ፡ መናፍስት፡ ወጽድቅ፡ ቅድሜሁ፡ ኢየኀልቅ፡ ወርትዕ፡ ቅድሜሁ፡ ኢየኀልቅ።
39:8	ወበህየ፡ ፈቀድኩ፡ እኅድር፡ ወፈተወቶ፡ ነፍስየ፡ ለውእቱ፡ ማኅደር፡ በህየ፡ ኮነ፡ ክፍልየ፡ ቅድመ፡ እስመ፡ ከመ፡ ዝ፡ ጸንዐ፡ በእንቲኣየ፡ በቅድመ፡ እግዚአ፡ መናፍስት።
39:9	ወበውእቶን፡ መዋዕል፡ ሰባሕኩ፡ ወአልዐልኩ፡ ስሞ፡ ለእግዚአ፡ መናፍስት፡ በረከተ፡ ወስብሐተ፡ ወሀብኩ፡ እስመ፡ ውእቱ፡ አጽንዐኒ፡ በበረከት፡ ወስብሐት፡ በከመ፡ ፈቃዱ፡ ለእግዚአ፡ መናፍስት።
39:10	ወጕንዱየ፡ ርእያ፡ አዕይንትየ፡ በውእቱ፡ መካን፡ ወባረክዎ፡ ወሰባሕክዎ፡ እንዘ፡ እብል፡ ቡሩክ፡ ውእቱ፡ ወይትባረክ፡ እምቅድመ፡ ዓለም፡ ወእስከ፡ ለዓለም።
39:11	ወበቅድሜሁ፡ አልቦ፡ ማኅለቅት፡ ውእቱ፡ የአምር፡ ዘእንበለ፡ ይትፈጠር፡ ዓለም፡ ምንት፡ ውእቱ፡ ዓለም፡ ወለትውልደ፡ ትውልድ፡ ዘትከውን።
39:12	ይባርኩከ፡ እለ፡ ኢይነውሙ፡ ወይቀውሙ፡ በቅድመ፡ ስብሐቲከ፡ ወይባርኩ፡ ወይሴብሑ፡ ወያሌዕሉ፡ እንዘ፡ ይብሉ፡ ቅዱስ፡ ቅዱስ፡ ቅዱስ፡ እግዚአ፡ መናፍስት፡ ወይመልእ፡ ምድረ፡ መናፍስተ።
39:13	ወበህየ፡ ርእያ፡ አዕይንትየ፡ ኵሎ፡ እለ፡ ኢይነውሙ፡ ይቀውሙ፡ ቅድሜሁ፡ ወይባርኩ፡ ወይብሉ፡ ቡሩክ፡ አንተ፡ ወቡሩክ፡ ስሙ፡ ለእግዚአ፡ መናፍስት፡ ለዓለመ፡ ዓለም።
39:14	ወተወለጠ፡ ገጽየ፡ እስመ፡ ስእንኩ፡ ነጽሮ።
40:1	ወርኢኩ፡ እምድኅረዝ፡ አእላፈ፡ አእላፋት፡ ወትእልፊተ፡ አእላፋት፡ ወአልቦሙ፡ ኍልቊ፡ ወሐሳብ፡ ለእለ፡ ይቀውሙ፡ ቅድመ፡ እግዚአ፡ መናፍስት።
40:2	ወርኢኩ፡ ወበአርባዕቱ፡ ክነፊሁ፡ ለእግዚአ፡ መናፍስት፡ አርባዕተ፡ ገጻት፡ ካልኣተ፡ እምእለ፡ ይቀውሙ፡ ወአስማቲሆሙ፡ አእመርኩ፡ ዘአይድዐኒ፡ መልአክ፡ ዘመጽአ፡ ምስሌየ፡ ወኵሎ፡ ኅቡኣተ፡ አርአየኒ።
40:3	ወሰማዕኩ፡ ቃሎሙ፡ ለእልክቱ፡ ገጽ፡ አርባዕቱ፡ ገጽ፡ እንዘ፡ ይሴብሑ፡ ቅድመ፡ እግዚአ፡ መናፍስት።
40:4	ወቃል፡ ቀዳማዊ፡ ይባርኮ፡ ለእግዚአ፡ መናፍስት፡ ለዓለመ፡ ዓለም።
40:5	ወቃለ፡ ካልአ፡ ሰማዕኩ፡ እንዘ፡ ይባርኮ፡ ለኅሩይ፡ ወለኅሩያን፡ እለ፡ ስቁላን፡ ለእግዚአ፡ መናፍስት።
40:6	ወሣልሰ፡ ቃለ፡ ሰማዕኩ፡ እንዘ፡ ይስእሉ፡ ወይጼልዩ፡ በእንተ፡ እለ፡ የኀድሩ፡ ውስተ፡ የብስ፡ ወያስተበቍዑ፡ በስሙ፡ ለእግዚአ፡ መናፍስት።
40:7	ወቃለ፡ ራብዐየ፡ ሰማዕኩ፡ እንዘ፡ ይሰድዶሙ፡ ለሰይጣናት፡ ወኢየኀድጎሙ፡ ይባኡ፡ ኀበ፡ እግዚአ፡ መናፍስት፡ ከመ፡ ያስተዋድይዎሙ፡ ለእለ፡ የኀድሩ፡ ዲበ፡ የብስ።
40:8	ወእምድኅረ፡ ዝ፡ ተስእልክዎ፡ ለመልአከ፡ ሰላም፡ ዘየሐውር፡ ምስሌየ፡ ዘውእቱ፡ አርአየኒ፡ ኵሎ፡ ዘኅቡእ፡ ወእብሎ፡ መኑ፡ ውእቶሙ፡ እሉ፡ አርባዕቱ፡ ገጽ፡ ዘርኢኩ፡ ወእለ፡ ሰማዕኩ፡ ቃሎሙ፡ ወጸሐፍክዎሙ።
40:9	ወይቤለኒ፡ ዝ፡ ቃል፡ ቀዳማዊ፡ ውእቱ፡ መሓሪ፡ ወርሑቀ፡ መዓት፡ ቅዱስ፡ ሚካኤል፡ ወካልእ፡ ዘዲበ፡ ኵሉ፡ ሕማም፡ ወዲበ፡ ኵሉ፡ ቍስል፡ ዘውሉደ፡ ሰብእ፡ ውእቱ፡ ሩፋኤል፡ ወሣልስ፡ ዘዲበ፡ ኵሉ፡ ኀይል፡ ውእቱ፡ ቅዱስ፡ ገብርኤል፡ ወራብዕ፡ ዘዲበ፡ ንስሓ፡ ለተስፋ፡ እለ፡ ይወርሱ፡ ሕይወተ፡ ዘለዓለም፡ ውእቱ፡ ፋኑኤል።
40:10	ወእሉ፡ አርባዕቱ፡ መላእክቲሁ፡ ለእግዚአብሔር፡ ልዑል፡ ወአርባዕተ፡ ቃለ፡ ሰማዕኩ፡ በውእቶን፡ መዋዕል።
41:1	ወእምድኅረ፡ ዝ፡ ርኢኩ፡ ኵሎ፡ ኅቡኣቲሆሙ፡ ለሰማያት፡ ወመንግሥት፡ እፎ፡ ትትከፈል፡ ወተግባረ፡ ሰብእ፡ ከመ፡ በመዳልው፡ ይዴለው።
41:2	ወበህየ፡ ርኢኩ፡ ማኅደሪሆሙ፡ ለቅዱሳን፡ ወማኅደሮሙ፡ ለኅሩያን፡ ወርእያ፡ አዕይንትየ፡ በህየ፡ ኵሎሙ፡ ኃጥኣን፡ እንዘ፡ ይሰደዱ፡ እምህየ፡ እለ፡ ይክሕድዎ፡ ለስመ፡ እግዚአ፡ መናፍስት፡ ወይስሕብዎሙ፡ ወቀዊመ፡ አልቦሙ፡ በመቅሠፍት፡ እንተ፡ ትወፅእ፡ እምእግዚአ፡ መናፍስት።
41:3	ወበህየ፡ ርእያ፡ አዕይንትየ፡ ኅቡኣተ፡ መባርቅተ፡ ወነጐድጓድ፡ ወኅቡኣተ፡ ነፋሳተ፡ ወእፎ፡ ይትከፈሉ፡ ከመ፡ ይንፍኁ፡ ዲበ፡ ምድር፡ ወኅቡኣተ፡ ደመና፡ ወጠል፡ ወበህየ፡ ርኢኩ፡ እምኀበ፡ ይወፅእ፡ በውእቱ፡ መካን፡ ወእምህየ፡ ይጸግቡ፡ ጸበለ፡ ምድር።
41:4	ወበህየ፡ ርኢኩ፡ መዛግብተ፡ ዕፅዋነ፡ ወእምኔሆሙ፡ ይትከፈሉ፡ ነፋሳት፡ ወመዝገበ፡ በረድ፡ ወመዝገበ፡ ጊሜ፡ ወዘደመናት፡ ወደመና፡ ዚኣሁ፡ እምላዕለ፡ ምድር፡ የኀድር፡ እምቅድመ፡ ዓለም።
41:5	ወርኢኩ፡ መዛግብተ፡ ፀሓይ፡ ወዘወርኅ፡ ወእምአይቴ፡ ይወፅኡ፡ ወአይቴ፡ ይገብኡ፡ ወግብአቶሙ፡ ስቡሕ፡ ወእፎ፡ ይከብር፡ አሐዱ፡ እምካልኡ፡ ወምሕዋሮሙ፡ ብዑል፡ ወኢየኀልፉ፡ ምሕዋረ፡ ወኢይዌስኩ፡ ወኢያሐጽጹ፡ ምሕዋረ፡ ዚኣሆሙ፡ ወሃይማኖቶሙ፡ የዐቅቡ፡ አሐዱ፡ ምስለ፡ ካልኡ፡ በመሐላ፡ ዘነበሩ።
41:6	ወይወፅእ፡ ቅድመ፡ ፀሓይ፡ ወይገብር፡ ፍኖቶ፡ በትእዛዘ፡ እግዚአ፡ መናፍስት፡ ወይጸንዕ፡ ስሙ፡ ለዓለመ፡ ዓለም።
41:7	ወእምድኅረ፡ ዝ፡ ርኢኩ፡ ፍኖተ፡ ዘኅቡእ፡ ወዘክሡት፡ ዘወርኅ፡ ወምሕዋረ፡ ፍኖቱ፡ ይፌጽም፡ በውእቱ፡ መካን፡ በመዓልት፡ ወበሌሊት፡ ወአሐዱ፡ ለካልኡ፡ ይኔጽሮ፡ በቅድመ፡ እግዚአ፡ መናፍስት፡ ወየአኵቱ፡ ወይሴብሑ፡ ወኢየዐርፉ፡ እስመ፡ አኰቴቶሙ፡ ዕረፍቶሙ፡ ውእቱ፡ ሎሙ።
41:8	እስመ፡ ፀሓይ፡ ብሩህ፡ ብዙኅ፡ ሙያጤ፡ ቦቱ፡ ለበረከት፡ ወለመርገም፡ ወምርዋጸ፡ ፍኖቱ፡ ለወርኅ፡ ለጻድቃን፡ ብርሃን፡ ወለኃጥኣን፡ ጽልመት፡ በስሙ፡ ለእግዚአ፡ መናፍስት፡ ዘፈጠረ፡ ማእከለ፡ ብርሃን፡ ወማእከለ፡ ጽልመት፡ ወከፈለ፡ መንፈሰ፡ ለሰብእ፡ ወአጽንዐ፡ መንፈሶሙ፡ ለጻድቃን፡ በስመ፡ ጽድቀ፡ ዚኣሁ።
41:9	እስመ፡ መልአክ፡ ኢይከልእ፡ ወሥልጣን፡ ኢይክል፡ ከሊአ፡ እስመ፡ መኰንን፡ ለኵሎሙ፡ ይሬኢ፡ ወእሎንተ፡ ኵሎሙ፡ በቅድሜሁ፡ ውእቱ፡ ይኴንን።
42:1	ጥበብ፡ መካነ፡ ኢረከበት፡ ኀበ፡ ተኀድር፡ ወሀለወት፡ ማኅደራ፡ ውስተ፡ ሰማያት።
42:2	ወፅአት፡ ጥበብ፡ ከመ፡ ትኅድር፡ ውስተ፡ ውሉደ፡ ሰብእ፡ ወኢረከበት፡ ማኅደረ፡ ጥበብ፡ ውስተ፡ መካና፡ ገብአት፡ ወተጸዕነት፡ ማእከለ፡ መላእክት።
42:3	ወዐመፃ፡ ወፅአት፡ እመዛግብቲሃ፡ ዘኢፈቀደት፡ ረከበት፡ ወኀደረት፡ ውስቴቶሙ፡ ከመ፡ ዝናም፡ በበድው፡ ወከመ፡ ጠል፡ በምድር፡ ጽምእት።
43:1	ወርኢኩ፡ ካልኣነ፡ መባርቅተ፡ ወከዋክብተ፡ ሰማይ፡ ወርኢኩ፡ ከመ፡ ይጼውዖሙ፡ ለኵሎሙ፡ በበ፡ አስማቲሆሙ፡ ወይሰምዕዎ።
43:2	ወርኢክዎ፡ ለመዳልወ፡ ጽድቅ፡ ከመ፡ ይዴለው፡ በብርሃናቲሆሙ፡ በራሕበ፡ መካናቲሆሙ፡ ወዕለተ፡ ኩነቶሙ፡ ወሚጠቶሙ፡ መብረቅ፡ መብረቀ፡ ይወልድ፡ ወሚጦቶሙ፡ በኍልቈ፡ መላእክቲሆሙ፡ ወሃይማኖቶሙ፡ የዐቅቡ፡ በበይናቲሆሙ።
43:3	ወተስእልክዎ፡ ለመልአክ፡ ዘየሐውር፡ ምስሌየ፡ ወዘአርአየኒ፡ ዘኅቡእ፡ ወእቤሎ፡ ምንት፡ እሙንቱ፡ እሉ።
43:4	ወይቤለኒ፡ ምስለ፡ ዘዚኣሆሙ፡ አርአየከ፡ እግዚአ፡ መናፍስት፡ እሉ፡ እሙንቱ፡ አስማቲሆሙ፡ ለጻድቃን፡ እለ፡ የኀድሩ፡ ዲበ፡ የብስ፡ ወየአምኑ፡ በስሙ፡ ለእግዚአ፡ መናፍስት፡ ለዓለመ፡ ዓለም።
44:1	ወካልኣተ፡ ርኢኩ፡ በእንተ፡ መብረቅ፡ እፎ፡ ይቀውሙ፡ እምከዋክብት፡ ወይከውኑ፡ መብረቀ፡ ወኢይክሉ፡ ኀዲገ፡ ምስሌሆሙ።
45:1	ወዝ፡ ካልእ፡ ምሳሌ፡ ዲበ፡ እለ፡ ይክሕዱ፡ ስሞ፡ ለማኅደረ፡ ቅዱሳን፡ ወለእግዚአ፡ መናፍስት።
45:2	ኢ፡ ሰማየ፡ የዐርጉ፡ ወኢ፡ ምድረ፡ ይበጽሑ፡ ከመ፡ ዝ፡ ይከውን፡ ክፍለ፡ ኃጥኣን፡ እለ፡ ይክሕዱ፡ ስሞ፡ ለእግዚአ፡ መናፍስት፡ እለ፡ ከመ፡ ዝ፡ ይትዐቀቡ፡ ለዕለተ፡ ሥራሕ፡ ወምንዳቤ።
45:3	ወበይእቲ፡ ዕለት፡ ይነብር፡ በመንበረ፡ ስብሐት፡ ኅሩይ፡ ወየኀሪ፡ ምግባሪሆሙ፡ ወምዕራፎሙ፡ ወኍልቊ፡ አልቦሙ፡ ወመንፈሶሙ፡ በማእከሎሙ፡ ትጸንዕ፡ ሶበ፡ ርእይዎ፡ ለኅሩየ፡ ዚኣየ፡ ወለእለ፡ ይሰክዩ፡ ስምየ፡ ቅዱሰ፡ ወስቡሐ።
45:4	ወበይእቲ፡ ዕለት፡ ኣነብሮ፡ በማእከሎሙ፡ ወእዌልጣ፡ ለሰማይ፡ ወእገብራ፡ ለበረከት፡ ወብርሃን፡ ዘለዓለም።
45:5	ወእዌልጣ፡ ለየብስ፡ ወእገብራ፡ ለበረከት፡ ወለኅሩያነ፡ ዚኣየ፡ ኣነብሮሙ፡ ውስቴታ፡ ወእለሰ፡ ይገብሩ፡ ኀጢአተ፡ ወጌጋየ፡ ኢይከይዱ፡ ውስቴታ።
45:6	እስመ፡ አነ፡ ርኢክዎሙ፡ ወአጽገብክዎሙ፡ በሰላም፡ ለጻድቃንየ፡ ወአንበርክዎሙ፡ ቅድሜየ፡ ወቀርበት፡ ኀቤየ፡ ኵነኔየ፡ ለኃጥኣን፡ ከመ፡ ኣህጕሎሙ፡ እምገጸ፡ ምድር።
46:1	ወበህየ፡ ርኢኩ፡ ዘሎቱ፡ ርእሰ፡ መዋዕል፡ ወርእሱ፡ ከመ፡ ፀምር፡ ጸዐዳ፡ ወምስሌሁ፡ ካልእ፡ ዘገጹ፡ ከመ፡ ርእየተ፡ ሰብእ፡ ወምሉእ፡ ጸጋ፡ ወገጹ፡ ከመ፡ አሐዱ፡ እመላእክት፡ ቅዱሳን።
46:2	ወተስእልክዎ፡ ለአሐዱ፡ እመላእክት፡ ቅዱሳን፡ ዘየሐውር፡ ምስሌየ፡ ወኵሎ፡ ኅቡኣተ፡ ዘአርአየኒ፡ በእንተ፡ ዝኩ፡ ወልደ፡ ሰብእ፡ ወእቤሎ፡ መኑ፡ ውእቱ፡ ወእምአይቴ፡ ይከውን፡ ውእቱ፡ ወበእንተ፡ ምንት፡ ምስለ፡ ርእሰ፡ መዋዕል፡ የሐውር።
46:3	ወአውሥአኒ፡ ወይቤለኒ፡ ዝንቱ፡ ውእቱ፡ ወልደ፡ ሰብእ፡ ዘሎቱ፡ ኮነ፡ ጽድቅ፡ ወጽድቅ፡ ምስሌሁ፡ ኀደረ፡ ወኵሎ፡ መዛግብተ፡ ዘኅቡእ፡ ውእቱ፡ ይከሥት፡ እስመ፡ እግዚአ፡ መናፍስት፡ ኪያሁ፡ ኀረየ፡ ወዘክፍሎ፡ ኵሎ፡ ሞአ፡ በቅድመ፡ እግዚአ፡ መናፍስት፡ በርትዕ፡ ለዓለም።
46:4	ወዝንቱ፡ ወልደ፡ ሰብእ፡ ዘርኢከ፡ ያነሥኦሙ፡ ለነገሥት፡ ወለኀያላን፡ እምስካባቲሆሙ፡ ወለጽኑዓን፡ እመናብርቲሆሙ፡ ወይፈትሕ፡ ልጓማተ፡ ጽኑዓን፡ ወያደቅቅ፡ አስናነ፡ ኃጥኣን።
46:5	ወይገፈትዖሙ፡ ለነገሥት፡ እመናብርቲሆሙ፡ ወእመንግሥቶሙ፡ እስመ፡ ኢያሌዕልዎ፡ ወኢይሴብሕዎ፡ ወኢይገንዩ፡ ወእምአይቴ፡ ተውህበት፡ ሎሙ፡ መንግሥት።
46:6	ወገጸ፡ ጽኑዓን፡ ይገፈትዕ፡ ወይመልኦሙ፡ ኀፍረት፡ ወጽልመተ፡ ይከውኖሙ፡ ማኅደሪሆሙ፡ ወዕፄያት፡ ይከውንዎሙ፡ ምስካቢሆሙ፡ ወኢይሴፈዉ፡ ከመ፡ ይትነሥኡ፡ እምስካባቲሆሙ፡ እስመ፡ ኢያሌዕሉ፡ ስሞ፡ ለእግዚአ፡ መናፍስት።
46:7	ወእሙንቱ፡ ኮኑ፡ እለ፡ ይኴንኑ፡ ከዋክብተ፡ ሰማይ፡ ወያሌዕሉ፡ እደዊሆሙ፡ ውስተ፡ ልዑል፡ ወይከይዱ፡ ዲበ፡ የብስ፡ ወየኀድሩ፡ ውስቴታ፡ ወኵሎ፡ ተግባሮሙ፡ ዐመፃ፡ ያሬእዩ፡ ወኵሉ፡ ተግባሮሙ፡ ዐመፃ፡ ወኀይሎሙ፡ ዲበ፡ ብዕሎሙ፡ ወሃይማኖቶሙ፡ ኮነ፡ ለአማልክት፡ እለ፡ ገብሩ፡ በእደዊሆሙ፡ ወይክሕዱ፡ ስሞ፡ ለእግዚአ፡ መናፍስት።
46:8	ወይሰድዱ፡ እምአብያት፡ ምስትጉቡአ፡ ዚኣሁ፡ ወለመሃይምናን፡ እለ፡ ስቁላን፡ በስሙ፡ ለእግዚአ፡ መናፍስት።
47:1	ወበውእቱ፡ መዋዕል፡ ዐርገት፡ ጸሎተ፡ ጻድቃን፡ ወደመ፡ ጻድቅ፡ እምነ፡ ምድር፡ ቅድመ፡ እግዚአ፡ መናፍስት፡ ተፈቅደ።
47:2	ወበእሉ፡ መዋዕል፡ የኀብሩ፡ ቅዱሳን፡ እለ፡ ይነብሩ፡ መልዕልተ፡ ሰማያት፡ ወበአሐዱ፡ ቃል፡ ያስተበቍዑ፡ ወይጼልዩ፡ ወይሴብሑ፡ ወየአኵቱ፡ ወይባርኩ፡ በስሙ፡ ለእግዚአ፡ መናፍስት፡ በእንተ፡ ደመ፡ ጻድቃን፡ ዘተክዕወ፡ ወጸሎቶሙ፡ ለጻድቃን፡ ከመ፡ ኢትጻራዕ፡ በቅድመ፡ እግዚአ፡ መናፍስት፡ ከመ፡ ይትገበር፡ ሎሙ፡ ኵነኔ፡ ወትዕግሥት፡ ኢይኩን፡ ሎሙ፡ ለዓለም።
47:3	ወበእማንቱ፡ መዋዕል፡ ርኢክዎ፡ ለርእሰ፡ መዋዕል፡ ሶበ፡ ነበረ፡ በመንበረ፡ ስብሐቲሁ፡ ወመጻሕፍተ፡ ሕያዋን፡ ተከሥቱ፡ በቅድሜሁ፡ ወኵሉ፡ ኀይሉ፡ ዘመልዕልተ፡ ሰማያት፡ ዐውደ፡ ዚኣሁ፡ ይቀውሙ፡ ቅድሜሁ።
47:4	ወልቦሙ፡ ለቅዱሳን፡ ትመልእ፡ ፍሥሓ፡ እስመ፡ በጽሐ፡ ኍልቋ፡ ለጽድቅ፡ ወጸሎቶሙ፡ ለጻድቃን፡ ተሰምዐ፡ ወደሙ፡ ለጻድቅ፡ በቅድመ፡ እግዚአ፡ መናፍስት፡ ተፈቅደ።
48:1	ወበውእቱ፡ መካን፡ ርኢኩ፡ ነቅዐ፡ ጽድቅ፡ ዘኢይትኌለቍ፡ ወበዐውዱ፡ የዐውድዎ፡ ብዙኃን፡ አንቅዕተ፡ ጥበብ፡ ወኵሎሙ፡ ጽሙኣን፡ ይሰትዩ፡ እምኔሁ፡ ወይትመልኡ፡ ጥበበ፡ ወማኅደሪሆሙ፡ ምስለ፡ ጻድቃን፡ ወቅዱሳን፡ ወኅሩያን።
48:2	ወበይእቲ፡ ሰዓት፡ ተጸውዐ፡ ዝኩ፡ ወልደ፡ ሰብእ፡ በኀበ፡ እግዚአ፡ መናፍስት፡ ወስሙ፡ መቅድመ፡ ርእሰ፡ መዋዕል።
48:3	ወዘእንበለ፡ ይትፈጠር፡ ፀሓይ፡ ወተኣምር፡ ወዘእንበለ፡ ይትገበሩ፡ ከዋክብተ፡ ሰማይ፡ ተጸውዐ፡ ስሙ፡ በቅድመ፡ እግዚአ፡ መናፍስት።
48:4	ወውእቱ፡ ይከውን፡ በትረ፡ ለጻድቃን፡ ወለቅዱሳን፡ ከመ፡ ቦቱ፡ ይትመረጐዙ፡ ወከመ፡ ኢይደቁ፡ ወውእቱ፡ ብርሃነ፡ አሕዛብ፡ ወውእቱ፡ ይከውን፡ ተስፋ፡ ለእለ፡ የሐምሙ፡ ልቦሙ።
48:5	ወይወድቁ፡ ወይሰግዱ፡ ቅድሜሁ፡ ኵሎሙ፡ እለ፡ የኀድሩ፡ ውስተ፡ የብስ፡ ወይባርክዎ፡ ወይሴብሕዎ፡ ወይዜምሩ፡ ሎቱ፡ ለስመ፡ እግዚአ፡ መናፍስት።
48:6	ወበእንተ፡ ዝ፡ ኮነ፡ ኅሩየ፡ ወኅቡአ፡ በቅድሜሁ፡ እምቅድመ፡ ይትፈጠር፡ ዓለም።
48:7	ወከሠቶ፡ ለጻድቃን፡ ወለኅሩያን፡ ጥበቡ፡ ለእግዚአ፡ መናፍስት፡ እስመ፡ ዐቀበ፡ ክፍሎሙ፡ ለጻድቃን፡ እስመ፡ ጸልእዎ፡ ወመነንዎ፡ ለዝ፡ ዓለም፡ ዘዐመፃ፡ ወኵሎ፡ ምግባሮ፡ ወፍናዊሁ፡ ጸልኡ፡ በስሙ፡ ለእግዚአ፡ መናፍስት፡ እስመ፡ በስመ፡ ዚኣሁ፡ ይድኅኑ፡ ወፈቃዴ፡ ኮነ፡ ለሕይወቶሙ።
48:8	ወበውእቱ፡ መዋዕል፡ ኮኑ፡ ትሑታነ፡ ገጽ፡ ነገሥተ፡ ምድር፡ ወጽኑዓን፡ እለ፡ ይእኅዝዋ፡ ለየብስ፡ በእንተ፡ ግብረ፡ እደዊሆሙ፡ እስመ፡ በዕለተ፡ ጻዕቆሙ፡ ወጻሕቦሙ፡ ኢያድኅኑ፡ ነፍሶሙ።
48:9	ወውስተ፡ እዴሆሙ፡ ለኅሩያነ፡ ዚኣየ፡ እወድዮሙ፡ ከመ፡ ሣዕር፡ ውስተ፡ እሳት፡ ወከመ፡ አረር፡ ውስተ፡ ማይ፡ ወከመ፡ ዝ፡ ይውዕዩ፡ እምገጸ፡ ጻድቃን፡ ወይሠጠሙ፡ እምቅድመ፡ ገጸ፡ ቅዱሳን፡ ወኢይትረከብ፡ ሎሙ፡ አሠር።
48:10	ወበዕለተ፡ ጻሕበ፡ ዚኣሆሙ፡ ፍርሀተ፡ ትከውን፡ በዲበ፡ ምድር፡ ወበቅድሜሁ፡ ይወድቁ፡ ወኢይትነሥኡ፡ ወአልቦ፡ ዘይትሜጠዎሙ፡ በእደዊሁ፡ ወያነሥኦሙ፡ እስመ፡ ክሕድዎ፡ ለእግዚአ፡ መናፍስት፡ ወለመሲሑ፡ ወይትባረክ፡ ስሙ፡ ለእግዚአ፡ መናፍስት።
49:1	እስመ፡ ጥበብ፡ ተክዕው፡ ከመ፡ ማይ፡ ወስብሐት፡ ኢተኀልቅ፡ ቅድሜሁ፡ ለዓለመ፡ ዓለም።
49:2	እስመ፡ ኀያል፡ ውእቱ፡ በኵሉ፡ ኅቡኣተ፡ ጽድቅ፡ ወዐመፃ፡ ከመ፡ ጽላሎት፡ የኀልፍ፡ ወምቅዋም፡ አልቦ፡ እስመ፡ ቆመ፡ ኅሩይ፡ በቅድመ፡ እግዚአ፡ መናፍስት፡ ወስብሐቲሁ፡ ለዓለመ፡ ዓለም፡ ወኀይሉ፡ ለትውልደ፡ ትውልድ።
49:3	ወቦቱ፡ የኀድር፡ መንፈሰ፡ ጥበብ፡ ወመንፈሰ፡ ዘያሌቡ፡ ወመንፈሰ፡ ትምህርት፡ ወኀይል፡ ወመንፈሰ፡ እለ፡ ኖሙ፡ በጽድቅ።
49:4	ወውእቱ፡ ይኴንን፡ ዘኅቡኣት፡ ወነገረ፡ በከ፡ አልቦ፡ ዘይክል፡ ብሂለ፡ በቅድሜሁ፡ እስመ፡ ኅሩይ፡ ውእቱ፡ በቅድመ፡ እግዚአ፡ መናፍስት፡ በከመ፡ ውእቱ፡ ፈቀደ።
50:1	ወበእማንቱ፡ መዋዕል፡ ሚጠት፡ ትከውን፡ ለቅዱሳን፡ ወለኅሩያን፡ ወብርሃነ፡ መዋዕል፡ ዲቤሆሙ፡ የኀድር፡ ወስብሐት፡ ወክብር፡ ለቅዱሳን፡ ይትመየጥ።
50:2	ወበዕለት፡ እንተ፡ ጻሕብ፡ ትዘገብ፡ እኪተ፡ ለኃጥኣን፡ ወይመውኡ፡ ጻድቃን፡ በስሙ፡ ለእግዚአ፡ መናፍስት፡ ወያርኢ፡ ለካልኣን፡ ከመ፡ ይነስሑ፡ ወይኅድጉ፡ ምግባረ፡ እደዊሆሙ።
50:3	ወይከውን፡ ሎሙ፡ ክብር፡ በቅድመ፡ እግዚአ፡ መናፍስት፡ ወበስሙ፡ ይድኅኑ፡ ወእግዚአ፡ መናፍስት፡ ይምሕሮሙ፡ እስመ፡ ብዙኅ፡ ምሕረቱ።
50:4	ወጻድቅ፡ ውእቱ፡ በኵነኔሁ፡ ወበቅድመ፡ ስብሐቲሁ፡ ወዐመፃ፡ ኢትቀውም፡ በኵነኔሁ፡ ወዘኢይኔስሕ፡ በቅድሜሁ፡ ይትሀጐል።
50:5	ወእምይእዜሰ፡ ኢይምሕሮሙ፡ ይቤ፡ እግዚአ፡ መናፍስት።
51:1	ወበእማንቱ፡ መዋዕል፡ ታገብእ፡ ምድር፡ ማሕፀንታ፡ ወሲኦል፡ ታገብእ፡ ማሕፀንታ፡ ዘተመጠወት፡ ወሀጕል፡ ያገብእ፡ ዘይፈዲ።
51:2	ወየኀሪ፡ ጻድቃነ፡ ወቅዱሳነ፡ እምኔሆሙ፡ እስመ፡ ቀርበት፡ ዕለት፡ ከመ፡ እሙንቱ፡ ይድኅኑ።
51:3	ወበእማንቱ፡ መዋዕል፡ ይነብር፡ ኅሩይ፡ ዲበ፡ መንበሩ፡ ወኵሎ፡ ኅሊናተ፡ ጥበብ፡ እምኅሊና፡ አፉሁ፡ ያወፅእ፡ እስመ፡ እግዚአ፡ መናፍስት፡ ወሀቦ፡ ወሰብሖ።
51:4	ወበእማንቱ፡ መዋዕል፡ ይዘፍኑ፡ አድባር፡ ከመ፡ ሐራጊት፡ ወያንፈርዕፁ፡ ከመ፡ መሐስእ፡ ጽጉባነ፡ ሐሊብ፡ ወይከውኑ፡ ኵሎሙ፡ መላእክት፡ በሰማይ።
51:5	ወገጾሙ፡ ይበርህ፡ በፍሥሓ፡ እስመ፡ በእማንቱ፡ መዋዕል፡ ኅሩይ፡ ተንሥአ፡ ወምድር፡ ትትፌሣሕ፡ ወጻድቃን፡ ዲቤሃ፡ የኀድሩ፡ ወኅሩያን፡ ውስቴታ፡ የሐውሩ፡ ወያንሶስዉ።
