Title:1	ΤΑ ΠΑΡΑΛΕΙΠΟΜΕΝΑ ΙΕΡΕΜΙΟΥ ΤΟΥ ΠΡΟΦΗΤΟΥ
6:18	καὶ ταῦτα εἰπὼν ὁ ἄγγελος, ἀπῆλθεν ἀπὸ τοῦ Βαρούχ.
6:19	ὁ δὲ Βαροὺχ ἀπέστειλεν εἰς τὴν ἀγορὰν τῶν ἐθνῶν καὶ ἤνεγκε χάρτην καὶ μέλανα, καὶ ἔγραψεν ἐπιστολὴν περιέχουσαν οὕτως· Βαροὺχ ὁ δοῦλος τοῦ θεοῦ γράφει τῷ Ἰερεμίᾳ ἐν τῇ αἰχμαλωσίᾳ τῆς Βαβυλῶνος·
6:20	Χαῖρε καὶ ἀγαλλιῶ, ὅτι ὁ θεὸς οὐκ ἀφῆκεν ἡμᾶς ἐξελθεῖν ἐκ τοῦ σώματος τούτου λυπουμένους διὰ τὴν πόλιν τὴν ἐρημωθεῖσαν καὶ ὑβρισθεῖσαν.
6:21	διὰ τοῦτο ἐσπλαγχνίσθη ὁ κύριος ἐπὶ τῶν δακρύων ἡμῶν, καὶ ἐμνήσθη τῆς διαθήκης, ἧς ἔστησε μετὰ πατέρων ἡμῶν Ἀβραάμ, Ἰσαάκ, καὶ Ἰακώβ.
6:22	καὶ ἀπέστειλε πρός με τὸν ἄγγελον αὐτοῦ, καὶ εἶπέ μοι τοὺς λόγους τούτους, οὓς ἀπέστειλα πρός σε.
6:23	οὗτοι οὖν εἰσὶν οἱ λόγοι, οὓς εἶπε κύριος ὁ θεὸς Ἰσραήλ, ὁ ἐξαγαγὼν ἡμᾶς ἐκ γῆς Αἰγύπτου, ἐκ τῆς μεγάλης καμίνου· Ὅτι οὐκ ἐφυλάξατε τὰ δικαιώματά μου, ἀλλὰ ὑψώθη ἡ καρδία ὑμῶν, καὶ ἐτραχηλιάσατε ἐνώπιόν μου, ἐν ὀργῇ καὶ θυμῷ παρέδωκα ὑμᾶς τῇ καμίνῳ εἰς Βαβυλῶνα.
6:24	ἐὰν οὖν ἀκούσητε τῆς φωνῆς μου, λέγει κύριος, ἐκ στόματος Ἰερεμίου τοῦ παιδός μου, ὁ ἀκούων, ἀναφέρω αὐτὸν ἐκ τῆς Βαβυλῶνος· ὁ δὲ μὴ ἀκούων, ξένος γενήσεται τῆς Ἰερουσαλὴμ καὶ τῆς Βαβυλῶνος.
6:25	δοκιμάσεις δὲ αὐτοὺς ἐκ τοῦ ὕδατος τοῦ Ἰορδάνου· ὁ μὴ ἀκούων φανερὸς γενήσεται· τοῦτο τὸ σημεῖόν ἐστι τῆς μεγάλης σφραγῖδος.
7:1	Καὶ ἀνέστη Βαρούχ, καὶ ἐξῆλθεν ἐκ τοῦ μνημείου καὶ εὗρεν τὸν ἀετὸν καθεζόμενον ἐκτὸς τοῦ μνημείου.
7:2	καὶ ἀποκριθεὶς ἀνθρωπίνῃ φωνῇ εἶπεν αὐτῷ ὁ ἀετός· Χαῖρε, Βαρούχ, ὁ οἰκονόμος τῆς πίστεως.
7:3	καὶ εἶπεν αὐτῷ Βαροὺχ ὅτι, Ἐκλεκτὸς εἶ σὺ ὁ λαλῶν ἐκ πάντων τῶν πετεινῶν τοῦ οὐρανοῦ, ἐκ τῆς γὰρ αὐγῆς τῶν ὀφθαλμῶν σου δῆλόν ἐστι· δεῖξόν μοι οὖν, τί ποιεῖς ἐνταῦθα;
7:4	καὶ εἶπεν αὐτῷ ὁ ἀετός· Ἀπεστάλην ὧδε, ὅπως πᾶσαν φάσιν ἣν θέλεις, ἀποστείλῃς δι᾽ ἐμοῦ.
7:5	καὶ εἶπεν αὐτῷ Βαρούχ· Εἰ δύνασαι συ ἐπᾶραι τὴν φάσιν ταύτην τῷ Ἰερεμίᾳ εἰς Βαβυλῶνα;
7:6	καὶ εἶπεν αὐτῷ ὁ ἀετός· Εἰς τοῦτο γὰρ καὶ ἀπεστάλην.
7:7	καὶ ἄρας Βαροὺχ τὴν ἐπιστολήν, καὶ δεκαπέντε σῦκα ἐκ τοῦ κοφίνου τοῦ Ἀβιμέλεχ, ἔδησεν αὐτὰ εἰς τὸν τράχηλον τοῦ ἀετοῦ, καὶ εἶπεν αὐτῷ· Σοὶ λέγω, βασιλεῦ τῶν πετεινῶν, ἄπελθε ἐν εἰρήνῃ μεθ᾽ ὑγείας, καὶ τὴν φάσιν ἔνεγκόν μοι.
7:8	μὴ ὁμοιωθῇς τῷ κόρακι, ὃν ἐξαπέστειλε Νῶε καὶ οὐκ ἀπεστράφη ἔτι πρὸς αὐτὸν εἰς τὴν κιβωτόν· ἀλλὰ ὁμοιώθητι τῇ περιστερᾷ, ἥτις ἐκ τρίτου φάσιν ἤνεγκε τῷ δικαίῳ.
7:9	οὕτως καὶ σύ, ἆρον τὴν καλὴν φάσιν ταύτην τῷ Ἰερεμίᾳ καὶ τοῖς σὺν αὐτῷ δεσμίοις ἵνα εὖ σοι γένηται, ἆρον τὸν χάρτην τοῦτον τῷ λαῷ καὶ τῷ ἐκλεκτῷ τοῦ θεοῦ.
7:10	ἐὰν κυκλώσωσί σε πάντα τὰ πετεινὰ τοῦ οὐρανοῦ, καὶ βούλωνται πολεμῆσαι μετὰ σοῦ, ἀγώνισαι· ὁ κύριος δώῃ σοι δύναμιν.
7:11	καὶ μὴ ἐκκλίνῃς εἰς τὰ δεξιά, μήτε εἰς τὰ ἀριστερά, ἀλλ᾽ ὡς βέλος ὕπαγον ὀρθῶς, ἀπέλθε ἐν τῇ δυνάμει τοῦ θεοῦ, καὶ ἔσται ἡ δόξα κυρίου μετὰ σοῦ ἐν πάσῃ τῇ ὁδῷ ᾗ πορεύσῃ.
7:12	τότε ὁ ἀετὸς ἐπετάσθη, ἔχων τὴν ἐπιστολὴν ἐν τῷ τραχήλῳ αὐτοῦ, καὶ ἀπῆλθεν εἰς Βαβυλῶνα καὶ ἐλθὼν ἀνεπαύσατο ἐπί τι ξύλον ἔξω τῆς πόλεως εἰς τόπον ἔρημον.
7:13	ἐσιώπησε δὲ ἕως οὗ διῆλθεν Ἰερεμίας, αὐτὸς γὰρ καὶ ἄλλοι τινὲς τοῦ λαοῦ ἐξήρχοντο θάψαι νεκρὸν ἔξω τῆς πόλεως.
7:14	ᾐτήσατο γὰρ Ἰερεμίας παρὰ τοῦ βασιλέως Ναβουχοδονόσορ, λέγων· Δός μοι τόπον ποῦ θάψω τοὺς νεκροὺς τοῦ λαοῦ μου· καὶ ἔδωκεν αὐτῷ ὁ βασιλεύς.
7:15	ἀπερχομένων δὲ αὐτῶν καὶ κλαιόντων μετὰ τοῦ νεκροῦ, ἦλθον κατέναντι τοῦ ἀετοῦ.
7:16	καὶ ἔκραξεν ὁ ἀετὸς μεγάλῃ φωνῇ, λέγων· Σοὶ λέγω, Ἰερεμία ὁ ἐκλεκτὸς τοῦ θεοῦ, ἀπέλθε, σύναξον τὸν λαὸν καὶ ἔλθε ἐνταῦθα ἵνα ἀκούσωσι ἐπιστολῆς ἣς ἤνεγκά σοι ἀπὸ τοῦ Βαροὺχ καὶ τοῦ Ἀβιμέλεχ.
7:17	ἀκούσας δὲ ὁ Ἰερεμίας, ἐδόξασε τὸν θεόν· καὶ ἀπελθὼν συνῆξε τὸν λαὸν σὺν γυναιξὶ καὶ τέκνοις, καὶ ἦλθεν ὅπου ἦν ὁ ἀετός.
7:18	καὶ κατῆλθεν ὁ ἀετὸς ἐπὶ τὸν τεθνηκότα, καὶ ἀνέζησε.
7:19	γέγονε δὲ τοῦτο, ἵνα πιστεύσωσιν.
7:20	ἐθαύμασε δὲ πᾶς ὁ λαὸς ἐπὶ τῷ γεγονότι, λέγοντες ὅτι, Μὴ οὗτος ὁ θεὸς ὁ ὀφθεὶς τοῖς πατράσιν ἡμῶν ἐν τῇ ἐρήμῳ διὰ Μωϋσέως, καὶ νῦν ἐφάνη ἡμῖν διὰ τοῦ ἀετοῦ τοῦτου;
7:21	καὶ εἶπεν ὁ ἀετός· Σοι λέγω Ἰερεμία, δεῦρο λῦσον τὴν ἐπιστολὴν ταῦτην, καὶ ἀνάγνωθι αὐτὴν τῷ λαῷ· λύσας οὖν τὴν ἐπιστολήν, ἀνέγνω αὐτὴν τῷ λαῷ.
7:22	καὶ ἀκούσας ὁ λαὸς ἔκλαυσαν καὶ ἐπέθηκαν χοῦν ἐπὶ τὰς κεφαλὰς αὐτῶν, καὶ ἔλεγον τῷ Ἰερεμίᾳ· Σῶσον ἡμᾶς καὶ ἀπάγγειλον ἡμῖν τί ποιήσωμεν ἵνα εἰσέλθωμεν πάλιν εἰς τὴν πόλιν ἡμῶν.
7:23	ἀποκριθεὶς δὲ Ἰερεμίας εἶπεν αὐτοῖς· Πάντα ὅσα ἐκ τῆς ἐπιστολῆς ἠκούσατε, φυλάξατε καὶ εἰσάξει ἡμᾶς κύριος εἰς τὴν πόλιν ἡμῶν.
7:24	ἔγραψε δὲ καὶ ἐπιστολὴν ὁ Ἰερεμίας τῷ Βαοὺχ λέγων οὕτως· Υἱέ μου ἀγαπητέ, μὴ ἀμελήσῃς ἐν ταῖς προσευχαῖς σου δεόμενος τοῦ θεοῦ ὑπὲρ ἡμῶν ὅπως κατευοδόσῃ τὴν ὁδὸν ἡμῶν ἄχρις ἂν ἐξέλθωμεν ἐκ τῶν προσταγμάτων τοῦ ἀνόμου βασιλέως τούτου.
7:25	δίκαιος γὰρ εὑρέθης ἐναντίον τοῦ θεοῦ, καὶ οὐκ ἔασέν σε εἰσελθεῖν ἐνταῦθα ὅπως μὴ ἴδῃς τὴν κάκωσιν τὴν γενομένην τῷ λαῷ ὑπὸ τῶν Βαβυλωνίων.
7:26	ὥσπερ γὰρ πατήρ, υἱὸν μονογενῆ ἔχων, τούτου δὲ παραδοθέντος εἰς τιμωρίαν· οἱ ἰδόντες τὸν πατέρα αὐτοῦ καὶ παραμυθούμενοι αὐτόν, σκέπουσιν τὸ πρόσωπον αὐτοῦ, ἵνα μὴ ἴδῃ πῶς τιμωρεῖται αὐτὸς ὁ υἱὸς καὶ πλείονα φθαρῇ ἀπὸ τῆς λύπης.
7:27	οὕτως γάρ σε ἐλέησεν ὁ θεὸς καὶ οὐκ ἔασέν σε ἐλθεῖν εἰς Βαβυλῶνα ἵνα μὴ ἴδῃς τὴν κάκωσιν τοῦ λαοῦ.
7:28	ἀφ᾽ ἧς γὰρ εἰσήλθομεν ἐνταῦθα οὐκ ἐπαύσατο ἡ λύπη ἀφ᾽ ἡμῶν, ἐξήκοντα καὶ ἓξ ἔτη σήμερον.
7:29	πολλάκις γὰρ ἐξερχόμενος ηὕρισκον ἐκ τοῦ λαοῦ κρεμαμένους ὑπὸ Ναβουχοδονόσορ βασιλέως, κλαίοντας καὶ λέγοντας· Ἐλέησον ἡμᾶς, ὁ θεὸς Ζάρ.
7:30	ἀκούων ταῦτα, ἐλυπούμην καὶ ἔκλαιον δισσὸν κλαυθμόν, οὐ μόνον ὅτι ἐκρέμαντο, ἀλλ᾽ ὅτι ἐπεκαλοῦντο θεὸν ἀλλότριον λέγοντες· Ἐλέησον ἡμᾶς.
7:31	ἐμνημόνευον δὲ ἡμέρας ἑορτῆς ἃς ἐποιοῦμεν ἐν Ἰερουσαλὴμ πρὸ τοῦ ἡμᾶς αἰχμαλωτευθῆναι· καὶ μνησκόμενος ἐστέναζον, καὶ ἐπέστρεφον εἰς τὸν οἶκόν μου ὀδυνώμενος καὶ κλαίων.
7:32	νῦν οὖν δεήθητι εἰς τὸν τόπον ὅπου εἶ, σὺ καὶ Ἀβιμέλεχ, ὑπὲρ τοῦ λαοῦ τούτου, ὅπως εἰσακούσωσιν τῆς φωνῆς μου καὶ τῶν κριμάτων τοῦ στόματός μου καὶ ἐξέλθωμεν ἐντεῦθεν.
7:33	λέγω γάρ σοι ὅτι ὅλον τὸν χρόνον ὃν ἐποιήσαμεν ἐνταῦθα, κατέχουσιν ἡμᾶς λέγοντες ὅτι· Εἴπατε ἡμῖν ᾠδὴν ἐκ τῶν ᾠδῶν Σιών, τὴν ᾠδὴν τοῦ θεοῦ ὑμῶν.
7:34	καὶ λέγομεν αὐτοῖς· Πῶς ᾄσωμεν ὑμῖν ἐπὶ γῆς ἀλλοτρίας ὄντες;
7:35	καὶ μετὰ ταῦτα ἔδησε τὴν ἐπιστολὴν εἰς τὸν τράχηλον τοῦ ἀετοῦ Ἰερεμίας, λέγων· Ἀπέλθε ἐν εἰρήνῃ καὶ ἐπισκέψηται ἡμᾶς ἀμφοτέρους ὁ κύριος.
7:36	καὶ ἐπετάσθη ὁ ἀετός, καὶ ἦλθεν εἰς Ἰερουσαλὴμ καὶ ἔδωκε τὴν ἐπιστολὴν τῷ Βαρούχ, καὶ λύσας ἀνέγνω καὶ κατεφίλησεν αὐτὴν καὶ ἔκλαυσε ἀκούσας διὰ τὰς λύπας καὶ τὰς κακώσεις τοῦ λαοῦ.
7:37	Ἰερεμίας δὲ ἄρας τὰ σῦκα διέδωκε τοῖς νοσοῦσι τοῦ λαοῦ, καὶ ἔμεινε διδάσκων αὐτοὺς τοῦ ἀπέχεσθαι ἐκ τῶν ἀλισγημάτων τῶν ἐθνῶν τῆς Βαβυλῶνος.
8:1	Ἐγένετο δὲ ἡ ἡμέρα, ἐν ᾗ ἐξέφερε κύριος τὸν λαὸν ἐκ Βαβυλῶνος.
8:2	καὶ εἶπεν ὁ κύριος πρὸς Ἰερεμίαν· Ἀνάστηθι, σὺ καὶ ὁ λαός, καὶ δεῦτε ἐπὶ τὸν Ἰορδάνην, καὶ ἐρεῖς τῷ λαῷ· Ὁ θέλων τὸν κύριον καταλειψάτω τὰ ἔργα τῆς Βαβυλῶνος.
8:3	καὶ τοὺς ἄρρενας τοὺς λαβόντας ἐξ αὐτῶν γυναῖκας, καὶ τὰς γυναῖκας τὰς λαβούσας ἐξ αὐτῶν ἄνδρας, διαπεράσωσιν οἱ ἀκούοντές σου, καὶ ἆρον αὐτοὺς εἰς Ἰερουσαλήμ· τοὺς δὲ μὴ ἀκούοντάς σου, μὴ εἰσαγάγῃς αὐτοὺς ἐκεῖ.
8:4	Ἰερεμίας δὲ ἐλάλησεν πρὸς τὸν λαὸν τὰ ῥήματα ταῦτα· καὶ ἀναστάντες ἦλθον ἐπὶ τὸν Ἰορδάνην τοῦ περᾶσαι.
8:5	καὶ λέγων αὐτοῖς τὰ ῥήματα ἃ εἶπε κύριος πρὸς αὐτόν, τὸ ἥμισυ τῶν γαμησάντων ἐξ αὐτῶν οὐκ ἠθέλησαν ἀκοῦσαι τοῦ Ἰερεμίου, ἀλλ᾽ εἶπον πρὸς αὐτόν· Οὐ μὴ καταλείψωμεν τὰς γυναῖκας ἡμῶν εἰς τὸν αἰῶνα ἀλλ᾽ ὑποστρέφωμεν αὐτὰς μεθ᾽ ἡμῶν εἰς τὴν πόλιν ἡμῶν.
8:6	ἐπέρασαν οὖν τὸν Ἰορδάνην καὶ ἦλθον εἰς Ἰερουσαλήμ.
8:7	καὶ ἔστη Ἰερεμίας καὶ Βαροὺχ καὶ Ἀβιμέλεχ λέγοντες ὅτι, Πᾶς ἄνθρωπος κοινωνῶν Βαβυλωνίταις οὐ μὴ εἰσέλθῃ εἰς τὴν πόλιν ταύτην.
8:8	καὶ εἶπον πρὸς ἑαυτούς· Ἀναστάντες ὑποστρέψωμεν εἰς Βαβυλῶνα εἰς τὸν τόπον ἡμῶν· καὶ ἐπορεύθησαν.
8:9	ἐλθόντων δὲ αὐτῶν εἰς Βαβυλῶνα, ἐξῆλθον οἱ Βαβυλωνῖται εἰς συνάντησιν αὐτῶν, λέγοντες· Οὐ μὴ εἰσέλθητε εἰς τὴν πόλιν ἡμῶν, ὅτι ἐμισήσατε ἡμᾶς, καὶ κρυφῆ ἐξήλθετε ἀφ᾽ ἡμῶν διὰ τοῦτο οὐκ εἰσελεύσεσθε πρὸς ἡμᾶς.
8:10	ὅρκῳ γὰρ ὡρκίσαμεν ἀλλήλους κατὰ τοῦ ὀνόματος τοῦ θεοῦ ἡμῶν, μήτε ὑμᾶς μήτε τέκνα ὑμῶν δέξασθαι, ἐπειδὴ κρυφῆ ἐξήλθετε ἀφ᾽ ἡμῶν.
8:11	καὶ ἐπιγνόντες ὑπέστρεψαν καὶ ἦλθον εἰς τόπον ἔρημον μακρόθεν τῆς Ἰερουσαλήμ, καὶ ᾠκοδόμησαν ἑαυτοῖς πόλιν, καὶ ἐπωνόμασαν τὸ ὄνομα αὐτῆς Σαμάρειαν.
8:12	ἀπέστειλε δὲ πρὸς αὐτοὺς Ἰερεμίας, λέγων· Μετανοήσατε· ἔρχεται γὰρ ἄγγελος τῆς δικαιοσύνης, καὶ εἰσάξει ὑμᾶς εἰς τὸν τόπον ὑμῶν τὸν ὑψηλόν.
9:1	Ἔμειναν δὲ οἱ τοῦ Ἰερεμίου χαίροντες καὶ ἀναφέροντες θυσίας ὑπὲρ τοῦ λαοῦ ἐννέα ἡμέρας.
9:2	τῇ δὲ δεκάτῃ ἀνήνεγκεν Ἰερεμίας μόνος θυσίαν.
9:3	καὶ ηὔξατο εὐχήν, λέγων· Ἅγιος, ἅγιος, ἅγιος, τὸ θυμίαμα τῶν δένδρων τῶν ζώντων, τὸ φῶς τὸ ἀληθινὸν τὸ φωτίζον με ἕως οὗ ἀναληφθῶ πρός σε·
9:4	περὶ τοῦ ἔλεώς σου, παρακαλῶ, περὶ τῆς φωνῆς τῆς γλυκείας τῶν δύο Σεραφίμ, παρακαλῶ, περὶ ἄλλης εὐωδίας θυμιάματος.
9:5	καὶ ἡ μελέτη μου Μιχαὴλ ὁ ἀρχάγγελος τῆς δικαιοσύνης, ὁ ἀνοίγων τὰς πύλας τοῖς δικαίους, ἕως ἂν εἰσενέγκῃ τοὺς δικαίους.
9:6	παρακαλῶ σε, κύριε παντοκράτωρ πάσης κτίσεως, ὁ ἀγέννητος καὶ ἀπερινόητος, ᾧ πᾶσα κρίσις κέκρυπται ἐν αὐτῷ πρὸ τοῦ ταῦτα γενέσθαι.
9:7	ταῦτα λέγοντος τοῦ Ἰερεμίου, καὶ ἱσταμένου ἐν τῷ θυσιαστηρίῳ μετὰ Βαροὺχ καὶ Ἀβιμέλεχ, ἐγένετο ὡς εἷς τῶν παραδιδόντων τὴν ψυχὴν αὐτοῦ.
9:8	καὶ ἔμειναν Βαροὺχ καὶ Ἀβιμέλεχ κλαίοντες καὶ κράζοντες μεγάλῃ τῇ φωνῇ· Οὐαὶ ἡμῶν ὅτι ὁ πατὴρ ἡμῶν Ἰερεμίας κατέλιπεν ἡμᾶς, ὁ ἱερεὺς τοῦ θεοῦ καὶ ἀπῆλθεν.
9:9	ἤκουσε δὲ πᾶς ὁ λαὸς τοῦ κλαυθμοῦ αὐτῶν, καὶ ἔδραμον ἐπ᾽ αὐτοὺς πάντες, καὶ εἶδον Ἰερεμίαν ἀνακείμενον χαμαὶ ὥσπερ τεθνηκότα.
9:10	καὶ διέρρηξαν τὰ ἱμάτια αὐτῶν, καὶ ἐπέθηκαν χοῦν ἐπὶ τὰς κεφαλὰς αὐτῶν, καὶ ἔκλαυσαν κλαυθμὸν πικρόν.
9:11	καὶ μετὰ ταῦτα ἡτοίμασαν ἑαυτοὺς ἵνα κηδεύσωσιν αὐτόν.
9:12	καὶ ἰδοὺ φωνὴ ἦλθε, λέγουσα· Μὴ κηδεύετε τὸν ἔτι ζῶντα, ὅτι ἡ ψυχὴ αὐτοῦ εἰσέρχεται εἰς τὸ σῶμα αὐτοῦ πάλιν.
9:13	καὶ ἀκούσαντες τῆς φωνῆς, οὐκ ἐκήδευσαν αὐτόν, ἀλλ᾽ ἔμειναν περικύκλῳ τοῦ σκηνώματος αὐτοῦ ἡμέρας τρεῖς, λέγοντες ποιᾳ` ὥρᾳ μέλλει ἀναστῆναι.
9:14	μετὰ δὲ τρεῖς ἡμέρας εἰσῆλθεν ἡ ψυχὴ αὐτοῦ εἰς τὸ σῶμα αὐτοῦ καὶ ἐπῆρε τὴν φωνὴν αὐτοῦ ἐν μέσῳ πάντων καὶ εἶπε· Δοξάσατε τὸν θεὸν ἐν μίᾳ φωνῇ, πάντες δοξάσατε τὸν θεόν, καὶ τὸν υἱὸν τοῦ θεοῦ τὸν ἐξυπνίζοντα ἡμᾶς, Ἰησοῦν Χριστόν, τὸ φῶς τῶν αἰώνων πάντων, ὁ ἄσβεστος λύχνος, ἡ ζωὴ τῆς πίστεως.
9:15	γίνεται δὲ μετὰ τοὺς καιροὺς τούτους ἄλλα ἔτη τετρακόσια ἑβδομηκονταεπτὰ, καὶ ἔρχεται εἰς τὴν γῆν.
9:16	καὶ τὸ δένδρον τῆς ζωῆς τὸ ἐν μέσῳ τοῦ παραδείσου φυτευθὲν ποιήσει πάντα τὰ δένδρα τὰ ἄκαρπα ποιῆσαι καρπόν, καὶ αὐξηθήσονται, καὶ βλαστήσουσι.
9:17	καὶ τὰ δένδρα τὰ βεβλαστηκότα, καὶ μεγαλαυχοῦντα, καὶ λέγοντα· Ἐδώκαμεν τὸ τέλος ἡμῶν τῷ ἀέρι· ποιήσει αὐτὰ ξηρανθῆναι μετὰ τοῦ ὕψους τῶν κλάδων αὐτῶν, καὶ ποήσει αὐτὰ κριθῆναι, τὸ δένδρον τὸ στηριχθέν.
9:18	καὶ τὸ κόκκινον ὡς ἔριον λευκὸν γενήσεται· ἡ χιὼν μελανθήσεται, τὰ γλυκέα ὕδατα ἀλμυρὰ γενήσονται καὶ τὰ ἀλμυρὰ γλυκέα ἐν τῷ μεγάλῳ φωτὶ τῆς εὐφροσύνης τοῦ θεοῦ.
9:19	καὶ εὐλογήσει τὰς νήσους τοῦ ποιῆσαι καρπὸν ἐν τῷ λόγῳ τοῦ στόματος τοῦ χριστοῦ αὐτοῦ.
9:20	αὐτὸς γὰρ ἐλεύσεται, καὶ ἐξελεύσεται καὶ ἐπιλέξεται ἑαυτῷ δώδεκα ἀποστόλους, ἵνα εὐαγγελίζωνται ἐν τοῖς ἔθνεσιν· ὃν ἐγὼ ἑώρακα κεκοσμημένον ὑπὸ τοῦ πατρὸς αὐτοῦ, καὶ ἐρχόμενον εἰς τὸν κόσμον ἐπὶ τὸ ὄρος τῶν ἐλαιῶν· καὶ ἐμπλήσει τὰς πεινώσας ψυχάς.
9:21	ταῦτα λέγοντος τοῦ Ἰερεμίου περὶ τοῦ υἱοῦ τοῦ θεοῦ, ὅτι ἔρχεται εἰς τὸν κόσμον, ὠργίσθη ὁ λαὸς καὶ εἶπε· Ταῦτα πάλιν ἐστι τὰ ῥήματα τὰ ὑπὸ Ἠσαΐου τοῦ υἱοῦ Ἀμὼς εἰρημένα, λέγοντος ὅτι, Εἶδον τὸν θεόν, καὶ τὸν υἱὸν τοῦ θεοῦ.
9:22	δεῦτε οὖν, καὶ μὴ ἀποκτείνωμεν αὐτὸν τῷ ἐκείνου θανάτῳ, ἀλλὰ λίθοις λιθοβολήσωμεν αὐτόν.
9:23	ἐλυπήθησαν οὖν σφόδρα Βαροὺχ καὶ Ἀβιμέλεχ ὅτι ἤθελον ἀκοῦσαι πλήρης τὰ μυστήρια ἃ εἶδε.
9:24	λέγει δὲ αὐτοῖς Ἰερεμίας· Σιωπήσατε καὶ μὴ κλαίετε, οὐ μὴ γὰρ με ἀποκτείνωσιν ἕως οὗ πάντα ὅσα εἶδον διηγήσωμαι ὑμῖν.
9:25	εἶπε δὲ αὐτοῖς· Ἐνέγκατέ μοι λίθον ὧδε·
9:26	καὶ ἔστησεν αὐτὸν καὶ εἶπεν· Τὸ φῶς τῶν αἰώνων, ποίησον τὸν λίθον τοῦτον καθ᾽ ὁμοιότητά μου γενέσθαι ἕως οὗ πάντα ὅσα εἶδον διηγήσωμαι τῷ Βαροὺχ καὶ τῷ Ἀβιμέλεχ.
9:27	τότε ὁ λίθος διὰ προστάγματος θεοῦ ἀνέλαβεν ὁμοιότητα τοῦ Ἰερεμίου.
9:28	καὶ ἐλιθοβόλουν τὸν λίθον, νομίζοντες ὅτι Ἰερεμίας ἐστίν.
9:29	ὁ δὲ Ἰερεμίας πάντα παρέδωκε τὰ μυστήρια, ἃ εἶδε, τῷ Βαροὺχ καὶ τῷ Ἀβιμέλεχ, καὶ εἰθ᾽ οὕτως ἔστη ἐν μέσῳ τοῦ λαοῦ, ἐκτελέσαι βουλόμενος τὴν οἰκονομίαν αὐτοῦ.
9:30	τότε ἐβόησε ὁ λίθος, λέγων· Ὦ μωροὶ υἱοὶ Ἰσραήλ, διὰ τί λιθοβολεῖτέ με, νομίζοντες ὅτι ἐγὼ Ἰερεμίας; ἰδοὺ Ἰερεμίας ἐν μέσῳ ὑμῶν ἵσταται.
9:31	ὡς δὲ εἶδον αὐτόν, εὐθέως ἔδραμον πρὸς αὐτὸν μετὰ πολλῶν λίθων, καὶ ἐπληρώθη αὐτοῦ οἰκονομία.
9:32	καὶ ἐλθόντες Βαροὺχ καὶ Ἀβιμέλεχ, ἔθαψαν αὐτόν, καὶ λαβόντες τὸν λίθον ἔθηκαν ἐπὶ τὸ μνῆμα αὐτοῦ, ἐπιγράψαντες ἐν αὐτῷ οὕτως· οὗτός ἐστιν ὁ λίθος ὁ βοηθὸς τοῦ Ἰερεμίου.
